current_assets,cost_of_goods_sold,depreciation_and_amortization,EBITDA,inventory,net_income,total_receivables,market_value,net_sales,total_assets,total_long_term_debt,EBIT,gross_profit,total_current_liabilities,retained_earnings,total_revenue,total_liabilities,total_operationg_expenses,status
-0.20676722627697125,-0.2506773602875103,-0.2140126270714526,-0.18118655510677162,-0.16921153820861093,-0.0428829844096281,-0.2302079071933065,-0.13923564415211093,-0.2636174930229565,-0.23923118182306177,-0.2473637288336887,-0.14750281831141843,-0.2062160510704777,-0.23065598657832476,-0.032736261040795946,-0.2636174930229565,-0.2401988434900279,-0.26392947868737415,0
-0.21412122065520336,-0.2517660965405205,-0.21308547755327,-0.20159853582518805,-0.16862767858750174,-0.06332880452468075,-0.23274846732022667,-0.15652774757657534,-0.2651929388985172,-0.24196136152101724,-0.22559686352566594,-0.17633711648627012,-0.20816313199674147,-0.2156116266480434,-0.1277954227526305,-0.2651929388985172,-0.22544922250311475,-0.26071815167631085,0
-0.21475655137857183,-0.2516450048508479,-0.21415316783552102,-0.187399441156158,-0.1689481428908173,-0.05068316765001487,-0.23367170354935582,-0.1588618485073142,-0.2653398974861189,-0.24245438764016786,-0.2473637288336887,-0.15607296415707647,-0.20873345447074962,-0.23059501852056427,-0.036027570911881295,-0.2653398974861189,-0.2401948442652231,-0.26440801364546546,0
-0.19746532440298808,-0.15344378255168412,-0.2078959573994606,-0.1722912334218445,-0.1598818565562633,-0.034439096727073494,-0.23267429846249085,-0.14763505235968485,-0.19185904692056427,-0.2341265405003284,-0.2473637288336887,-0.1381189538526828,-0.20070597554159367,-0.21451911838720658,-0.02401496790387644,-0.19185904692056427,-0.23493714339890778,-0.18207118662990948,0
-0.20826198619704187,-0.24136418972315343,-0.20458171251545945,-0.17904075382312692,-0.16838184295756106,-0.04950682933609246,-0.21504978526828777,-0.15233683620888122,-0.2542122990929169,-0.23182654919343768,-0.23683316017545264,-0.14912104362874617,-0.19950411598136714,-0.2212560887697386,-0.04159066777798385,-0.2542122990929169,-0.23136199639244898,-0.2534432896285894,0
-0.09620845898509006,-0.1675818906933939,-0.18460604540764744,-0.1493057634109334,0.011429360656206,-0.05485083837165841,-0.050890856143561515,-0.15225078045554852,-0.16472899715517722,-0.1922133410039407,-0.1561411865278682,-0.11752317280570664,-0.1097631142662202,-0.18087802580632611,-0.02672124211806492,-0.16472899715517722,-0.18429256016141193,-0.15598391904222295,0
-0.2146892228239915,-0.25204857121948715,-0.2141846321856856,-0.18737073232251747,-0.1692071482866477,-0.05041558854856471,-0.23383775323085387,-0.15783982089336662,-0.2652455575453492,-0.24243025273422486,-0.2473637288336887,-0.15601769270411273,-0.20779850582835896,-0.2302847697750251,-0.03949793379621748,-0.2652455575453492,-0.2400860653505338,-0.26430461070292055,0
-0.21393540704623895,-0.25177785724419377,-0.21155421251192771,-0.18859564255784672,-0.16921153820861093,-0.054451994050628935,-0.23334513917574298,-0.15451640346592574,-0.26533834072141976,-0.23988880365211177,-0.2473412891519224,-0.1590043982550061,-0.20849772118149293,-0.22932206447587186,-0.03742014396084299,-0.26533834072141976,-0.23970565908710548,-0.26410984113918523,0
0.2792363539967938,0.0944868784461107,-0.036595644610175664,0.16566032270719425,0.15202100145050546,0.3952828428773021,0.41324567859040656,0.08922949359099139,0.12114048293588188,0.1622098183688167,-0.24631654368459396,0.24819984309207013,0.13091296976521696,0.23763228991157462,0.31678490684565,0.12114048293588188,0.1369168577689185,0.10087008445030526,0
0.05640623181637736,-0.13783776435890643,0.34349370537780466,0.08457774301906504,0.049330849406214856,-0.0762218258516307,0.09679040958717482,-0.04579437446217523,-0.005607251282375889,0.40483737551886534,0.3140116598877223,-0.05000806946505244,0.22693968557389899,-0.051353845483631526,-0.15230492980911775,-0.005607251282375889,0.18783850730088777,-0.027522084911433153,0
